,text,sentiment
0,I LOVE @Health4UandPets u guys r the best!! ,nutritious
1,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,nutritious
2,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",nutritious
3,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",nutritious
4,@LovesBrooklyn2 he has that effect on everyone ,nutritious
5,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,nutritious
6,@r_keith_hill Thans for your response. Ihad already find this answer ,nutritious
7,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ",nutritious
8,"@tommcfly ah, congrats mr fletcher for finally joining twitter ",nutritious
9,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,nutritious
10,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,nutritious
11,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,nutritious
12,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! ",nutritious
13,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting ",nutritious
14,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?,nutritious
15,Just added tweetie to my new iPhone ,nutritious
16,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),nutritious
17,@nicolerichie: your picture is very sweet ,nutritious
18,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ",nutritious
19,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! ",nutritious
20,Didn't place in the Peeps contest but thanks for voting anyways. ,nutritious
21,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,nutritious
22,@LittleLumen walking over to put the deposit down tomorrow ,nutritious
23,"is now followinq @DAChesterFrench , you shud do tha same ",nutritious
24,@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? ,nutritious
