,Unnamed: 0,Log,new_tag
0,0,"i ran a mile, i felt pretty good afterward. much more energetic.",Aerobic
1,1,i did weight lifting and felt much more exhausted but still strong,Strength
2,2,"i performed 45 weighted squats, and i felt pumped up.",Strength
3,3,i curled 50lbs and my arms were very sore.,Strength
4,4,i cycled for one hour and my legs were in so much pain after!,Aerobic
5,5,i played three tennis matches and my back hurts so much right now,Aerobic
6,6,i did 10 push ups and felt good,Strength
7,7,i walked for 1 mile and it felt good,Aerobic
8,8,ran a mile and tired,Aerobic
9,9,biked a two miles and okay,Aerobic
10,10,i ran one mile and felt dead tired afterwords.,Aerobic
11,11,i took a light walk for half an hour and felt relaxed after it.,Aerobic
12,12,i used an elliptical machine for about two minutes on its maximum resistance setting and felt exhausted afterwards.,Aerobic
13,13,i did about thirty push-ups and felt tired afterwards.,Strength
14,14,"i spent the day working out on the exercise bike for the first time in about a year, and i woke up the net morning so sore on my legs and arms.",Aerobic
15,15,"i ran uphill with a friend and the next day, my heels and calfs were killing me from soreness",Aerobic
16,16,i lifted weights and felt strong!,Strength
17,17,i did 25 bicycle crunches and felt pained.,Strength
18,18,i ran for 1 mile and felt energized afterwards,Aerobic
19,19,i did a max deadlift session and felt completely exhausted,Strength
20,20,i did a 30 minute hit workout from youtube. afterwards i felt energized,Aerobic
21,21,i did 10 chest press.  afterwards i felt weak and shaky,Strength
22,22,in spite of doing breathing exercise there was difficulty in breathing,Aerobic
23,23,after doing aerobics for 30 minutes i was feeling fatigue,Aerobic
24,24,"i did 200 situps and my back became sore, so i felt bad",Strength
25,25,"i ran 3 miles and my legs were fine, but my lungs hurt",Aerobic
26,26,i walked for 10 miles and i felt tired,Aerobic
27,27,i played golf for 4 hours and was energized,Aerobic
28,28,i jogged around my drive way and i felt tired after.,Aerobic
29,29,i walked on a treadmil at the gym for an hour and i felt accomplished after.,Aerobic
30,30,i walked 2 miles and felt energized,Aerobic
31,31,i lifted weights and felt exhausted,Strength
32,32,i stretched for 10 minutes and i feel like it helped,Aerobic
33,33,i walked for 5 miles and i feel great.,Aerobic
34,34,two miles in the new wheelchair.  i have aches in muscles i didn't know existed.,Aerobic
35,35,twenty minutes of water exercise. feeling waterlogged and very tired.,Aerobic
36,36,"i walked at a very brisk pace through the mall - from one end to the other which is reportedly a mile - twice.  i felt invigorated and really enjoyed it.  by the time i finished, i was tired and ready to go.",Aerobic
37,37,"i went to curves circuit, where i'm a member.  i typically enjoy the curves circuit, but i was very annoyed by an employee.",Aerobic
38,38,i did 30 minutes on the elliptical machine and i still felt like i could continue.,Aerobic
39,39,i did a one hour pilates class and felt energized but sore.,Aerobic
40,40,i did 2 zumba classes and could not feel my legs afterwards,Aerobic
41,41,i went for a hike and am totally exhausted,Aerobic
42,42,i play 2 hours of basketball and i felt tired,Aerobic
43,43,i ply 1 hour of indoor soccer and i was exhausted,Aerobic
44,44,i jogged around the block and felt energized.,Aerobic
45,45,i swam the length of the pool 10 times and felt satisfied.,Aerobic
46,46,doing cycling up to 10 km and i feel high rate of heart-beat.,Aerobic
47,47,second exercise is skipping and i feel good body maintaining after doing that.,Aerobic
48,48,i walked for three miles and felt invigorated.,Aerobic
49,49,i ran 5 times around the track and felt sore.,Aerobic
50,50,i lifted weights for 45 minutes and i feel sore.,Strength
51,51,i ran the treadmill for 30 minutes and i feel exhausted,Aerobic
52,52,i rode on my bike for approximately 1 hour and felt so energetic afterwards.,Aerobic
53,53,i lifted weights for 30 minutes and felt very lightheaded not too long afterwards.,Strength
54,54,i took my dog for a walk and i felt refreshed.,Aerobic
55,55,i lifted some weights focusing on legs and felt amazing and energized after.,Strength
56,56,i ran one mile in 10 minutes last night and was exhausted.,Aerobic
57,57,i deadlifted the other day and felt great.,Strength
58,58,i walked for five miles and felt tired.,Aerobic
59,59,i hiked up a hill and felt very strong!,Aerobic
60,60,i spent 90 minutes on the elliptical and felt energetic.,Aerobic
61,61,i walked the dog for a mile and felt refreshed.,Aerobic
62,62,i walked for two hours and felt very tired afterwards,Aerobic
63,63,i went swimming for half an hour felt really good afterwards,Aerobic
64,64,i walked 5 miles and boy my legs are tired,Aerobic
65,65,i walked 3 miles and now feel more energized,Aerobic
66,66,run and felt so tired,Aerobic
67,67,sit up and was exhausted,Strength
68,68,i did a set of 20 push ups and felt good after.,Strength
69,69,i did a 30 crunches and felt warmed up.,Strength
70,70,i went to my barbell class and felt so energized afterwards,Strength
71,71,i lifted a lot of weights and felt so sore the next 2 days.,Strength
72,72,dumbbell curls and i felt great afterwards,Strength
73,73,followed a workout video on youtube and felt tired but refreshing afterwards like i had accomplished something,Aerobic
74,74,i cycled 30 miles and felt energized and healthy,Aerobic
75,75,i power walked 5 miles and felt so good that i wanted to go farther,Aerobic
76,76,i ran 5 miles and was exhausted but i felt great.,Aerobic
77,77,i did arms in the gym and felt sore.,Strength
78,78,i ran five miles and i feel better energized,Aerobic
79,79,i take a weight lifting in gym. i feel body fitness,Strength
80,80,i hiked for three hours and felt tired during and after.,Aerobic
81,81,i did 15 minutes on the elliptical and feel pained.,Aerobic
82,82,i maxed out doing squats and felt like i couldn't stand on my own legs,Strength
83,83,i ran a ultra beast spartan race and felt like i was going to die,Aerobic
84,84,i hiked for 60 minutes with my dog and felt really perky throught out and after it.,Aerobic
85,85,i did some crunches and felt sore.,Strength
86,86,i ran on the treadmill for 30 minutes. i felt determined and strong. i made sure to start out slowly and slowly go faster so i wouldn't tire myself out. i felt relaxed yet active and accomplished at the same time.,Aerobic
87,87,lifting weights. i am not very strong so i cannot lift very heavy and i always feel a little sore afterwards but i felt determined and interested in what i was doing. and i felt proud that i was doing it and going through any discomfort or hurdles.,Strength
88,88,i ran seven miles and i felt full of energy.,Aerobic
89,89,i did thirty minutes of a high intensity training workout and i felt hungry.,Aerobic
90,90,i did upper body workout for 30min and felt strong.,Strength
91,91,i did 30min of yoga and was quite bored from it.,Aerobic
92,92,"i played basketball last week, i was tired after two games because i'm not in great shape anymore.",Aerobic
93,93,yesterday i was working out doing push ups. i got tired after only fifty push ups and quit because my muscles in my arms were cramping up and it was hurting.,Strength
94,94,i did 300 jumping jacks and felt sore,Aerobic
95,95,i did 100 push ups and got tired,Strength
96,96,ran 2 miles i felt energized,Aerobic
97,97,lift weights i felt strong,Strength
98,98,i took a 20 mile bike ride on local trails my legs were sore but it was fun.,Aerobic
99,99,i did an hour on the exercise bike this morning i was worn out after,Aerobic
100,100,i went kickboxing and felt clearminded after,Aerobic
101,101,i lifted weights at the gym and felt pumped after,Strength
102,102,i spent 30 minutes on the elliptical and was winded and exhausted.,Aerobic
103,103,i went uphill hiking for 30 minutes and felt strong and refreshed.,Aerobic
104,104,i played an hour of basketball and was tired,Aerobic
105,105,i swam for an hour and was spent,Aerobic
106,106,i running at the morning five miles. then i feel energized.,Aerobic
107,107,i take weight lifting in gym. then i feel fitness.,Strength
108,108,i ran 5 km along the beach and i felt exhausted,Aerobic
109,109,i did my usual routing of free body and weighted exercises at the park. my muscles are sore.,Strength
110,110,i swam for twenty minutes and i felt like i could hardly breathe.,Aerobic
111,111,i walk for an hour and i was tired and ready for a nap.,Aerobic
112,112,i did jumping jacks and felt tired,Aerobic
113,113,i ran and felt winded,Aerobic
114,114,the core exercise being low bar squats and found them extremely taxing,Strength
115,115,"i lifted heavy dead lifts, and had considerable soreness in my upper back the next day",Strength
116,116,i did barbell squats for an hour and felt very tired,Strength
117,117,i swam for 30 minutes and felt refreshed,Aerobic
118,118,i jogged two laps and was exhausted and worn out.,Aerobic
119,119,i played tennis with my spouse and felt great!,Aerobic
120,120,i walked 2 miles and felt more alert and upbeat.,Aerobic
121,121,i ran for 20 minutes and felt exhausted.,Aerobic
122,122,i did yoga and i felt centered.,Aerobic
123,123,i went running and i felt exhilarated.,Aerobic
124,124,"i walked a mile, and i felt good.",Aerobic
125,125,"i did yoga for an hour, and i felt refreshed.",Aerobic
126,126,i jogged for two miles and felt great afterwards.,Aerobic
127,127,i felt very tired after doing some squat thrusts for 30 minutes.,Strength
128,128,i walk five miles and i felt very tired.,Aerobic
129,129,i played a golf and i feel very disgust,Aerobic
130,130,i walked down to the river and my achilles hurt.,Aerobic
131,131,i biked down the riverwalk and felt great!,Aerobic
132,132,i ran a 5k and felt like i really accomplished something.,Aerobic
133,133,i went to hot yoga and felt super relaxed after.,Aerobic
134,134,i danced in heels for an hour and my legs were sore!,Aerobic
135,135,i did 50 push-ups and my arms are tired now!,Strength
136,136,i ran 20 minutes and i was feeling great.,Aerobic
137,137,i did 3 sets of 1 minute planks and i was feeling great.,Strength
138,138,i walk two miles and i feel very restless.,Aerobic
139,139,i play a basketball three hours and i felt so tired.,Aerobic
140,140,"i ran 5 miles around my neighborhood. i felt tired, but grateful that my body was able to run 5 miles up and down hills.",Aerobic
141,141,"i did an insanity workout video. initially, i felt sore after completing the work out but after cooling down i felt good about myself and what my body was capable of doing.",Aerobic
142,142,i ran 4 miles on the treadmill and it was hard.,Aerobic
143,143,i ran 3 miles on the treadmill and i could have done more.,Aerobic
144,144,did split squats and felt exhausted.,Strength
145,145,did chest press and felt energized,Strength
146,146,i running five miles at the morning. then i feel energized.,Aerobic
147,147,i take a weight lifting and general exercise. then i feel fit.,Strength
148,148,i played basketball and felt exhilirated.,Aerobic
149,149,i walked and felt refreshed.,Aerobic
150,150,"did 50 pushups up in a row, felt great",Strength
151,151,"did 100 situps in a row, it burns",Strength
152,152,i climbed stairs for 100 floors and i felt pooped,Aerobic
153,153,i lifted weights for 30 minutes and felt rejuvenated,Strength
154,154,i ran a billion millimeters and felt overcome with joy!,Aerobic
155,155,i swam three thousand feet and felt totally refreshed!,Aerobic
156,156,i ran 2 miles this morning and felt terrible afterwards.,Aerobic
157,157,i went to crosfit this afternoon and did a variety of exercise.,Aerobic
158,158,i walked 2 miles and i felt tired.,Aerobic
159,159,i lifted weights for an hour and i felt great.,Strength
160,160,"i walked 1.3 miles at a very brisk pace, and felt loosened up and less sore.",Aerobic
161,161,"i hiked from my house to the top of spencer butte, about 10.5 miles one way. i felt tired and my feet hurt, but the experience was invigorating.",Aerobic
162,162,i ran 5 km and it felt great.,Aerobic
163,163,i rode my bike and felt refreshed.,Aerobic
164,164,i worked out with free weights for 30 minutes and i felt great afterwards!,Strength
165,165,i ran on the treadmill for 5 minutes and felt exhausted.,Aerobic
166,166,skipping. i feeling its very energetic and give flexibility to my hip.,Aerobic
167,167,jogging. i feel shortly i get tired after going to jogging,Aerobic
168,168,"i exercised 60 minutes on the elliptical trainer, and i felt good and in high spirits after that.",Aerobic
169,169,i ran 15 minutes on the treadmill and felt totally exhausted after that.,Aerobic
170,170,"walk thru town, excited",Aerobic
171,171,"bike ride on canal, carefree",Aerobic
172,172,i skip for every day morning.this feel very beater,Aerobic
173,173,skipping is one of the best game and exercise. i feel weight loss,Aerobic
174,174,i walked around 10 miles and felt like exhausted,Aerobic
175,175,i worked out in gym and did 20 push ups and my muscles felt like they were going to torn out,Strength
176,176,i have early morning go to running. i am very energetic on the day.,Aerobic
